id,nama,email,no_hp,tanggal_daftar,status
1,Sri Santoso,sri251@yahoo.com,08131819600,2019-01-19,Aktif
2,Febri Santoso,febri734@ymail.com,08513794026,25-10-2021,aktif
3,BAGAS KUSUMA,bagas100@outlook.com,08239407816,19 Nov 2018,AKTIF
4,Galih Nugroho,fitri551@gmail.com,08113413164,2023/02/01,PENDING
5,Dian Nugroho,dian687@outlook.com,08129283276,2021/01/10,pending
6,Yuni Setiawan,yuni795@gmail.com,08210564139,2021-07-12,nonaktiff
7,rUDI LaKsoNO,rudi157@yahoo.com,08519166978,26 Oct 2020,suspend
8,Budi Kusuma,budi550@outlook.com,08231462704,2023-08-13,Nonaktif
9,Andi Purnomo,andi520@ymail.com,08212528809,2021-20-08,aktif
10,Fajar Purnomo,fajar247@ymail.com,08121718227,2024-03-01,Aktif
11,Febri Saputra,febri952@ymail.com,08214657871,2020-10-12,aktif
12,Siti Ramadhan,siti603@yahoo.com,08111031051,2023-10-07,AKTIF
13,Bambang Wibowo,bambang741@ymail.com,08587376311,01-11-2022,nonaktif
14,Doni Rahayu,doni662@gmail.com,08116513338,2023-01-12,nonaktif
15,Fauzi Laksono,fauzi946@gmail.com,08528108013,2019-13-11,nonaktif
16,Hendra Hartono,hendra169@hotmail.com,08116474687,2019-09-27,AKTIF
17,Dewi Ramadhan,dewi63@outlook.com,08110978820,2023-09-12,panding
18,rizki iskandar,rizki883@yahoo.com,08511939909,2018-02-12,nonaktiff
19,Nisa Firmansyah,nisa268@yahoo.com,08233462475,2018-10-25,nonaktif
20,NISA KUSUMA,nisa219@ymail.com,08222513542,30 Nov 2022,pending
21,galih firmansyah,galih837@ymail.com,08221241182,20-01-2021,NON AKTIF
22,Bagas Wibowo,bagas874@outlook.com,08537401640,15-01-2018,Pending
23,Mega Sari,mega565@hotmail.com,08530112805,13 Jul 2024,aktif
24,Muhammad Rahayu,muhammad921@gmail.com,08233315869,2019-09-26,suspend
25,agus saputra,agus755@outlook.com,08513421607,2020-06-30,PENDING
26,Doni Nugroho,doni815@yahoo.com,08210365414,2021/12/09,Nonaktif
27,Wulan Setiawan,wulan119@outlook.com,08139401965,2021-08-07,NON AKTIF
28,Ratna Kusuma,ratna591@yahoo.com,08220608835,2022-11-02,Suspend
29,Bagas Iskandar,bagas869@gmail.com,08228465648,2019-06-06,nonaktif
30,Ayu Sari,ayu309@hotmail.com,08530443699,2021-12-08,nonaktif
31,Hendra Firmansyah,hendra923@yahoo.com,08124895134,2020-07-09,aktif
32,Ahmad Hidayat,ahmad626@gmail.com,08526936763,2019/08/28,pending
33,Andi Saputra,andi824@ymail.com,08520831727,16 Dec 2023,NON AKTIF
34,Maya Iskandar,maya914@ymail.com,08518727743,09 Feb 2021,nonaktif
35,Reza Susanto,reza731@outlook.com,08214558122,2020-05-08,pending
36,Hendra Wijaya,hendra339@ymail.com,08526036690,2024-16-06,nonaktif
37,Putri Purnomo,putri874@hotmail.com,08538937346,2023-06-13,nonaktif
38,Rudi Sari,rudi942@yahoo.com,08588069901,2022-10-22,suspend
39,Agus Rahayu,agus336@yahoo.com,08525564641,2023-04-11,pending
40,Dewi Nugroho,dewi71@gmail.com,08113309232,2023/04/24,aktif
41,Hendra Laksono,hendra786@outlook.com,08139912419,16-04-2018,Nonaktif
